Job Title,Company Name,Location,Job Description
Principal Software Engineer,Coinbase,India (Remote),"About the job

Ready to be pushed beyond what you think you’re capable of?

At Coinbase, our mission is to increase economic freedom in the world. It’s a massive, ambitious opportunity that demands the best of us, every day, as we build the emerging onchain platform — and with it, the future global financial system.




To achieve our mission, we’re seeking a very specific candidate. We want someone who is passionate about our mission and who believes in the power of crypto and blockchain technology to update the financial system. We want someone who is eager to leave their mark on the world, who relishes the pressure and privilege of working with high caliber colleagues, and who actively seeks feedback to keep leveling up. We want someone who will run towards, not away from, solving the company’s hardest problems.




Our work culture is intense and isn’t for everyone. But if you want to build the future alongside others who excel in their disciplines and expect the same from you, there’s no better place to be.

We are seeking a highly experienced and talented Principal Engineer to join our team. This individual will be one of the most senior individual contributors at Coinbase and will play a crucial role in influencing across multiple areas. This person will mentor other ICs to promote technical excellence and professional growth.







What you’ll be doing (ie. job duties):

Influence and oversee large engineering efforts across various domains such as identity, payments, ledgering, risk, and AI
Collaborate with other product leaders to establish and execute on vision & architecture strategies
Help drive the unified vision for product platform services and API surface
Lead the development and scaling of data stores and ledger systems within payment frameworks
Implement best practices for building and maintaining large-scale systems







What we look for in you (ie. job requirements):

Minimum of 15+ years of experience
Experience providing technical and strategic oversight for a high-performing global team of hundreds of engineers.
Desire and ability to inspire, influence and drive change at all levels, across multiple XFN teams, VPs and C-Suite. 
Demonstrated experience in working with large-scale systems and solving technical problems with over multi-year, multi-billion dollar, and multi-organization impact.
Excellent collaboration skills, with the ability to work effectively with cross-functional leaders and mentor other team members.
Experience in the fintech sector, with crypto experience being a plus




 

Commitment to Equal Opportunity




Coinbase is committed to diversity in its workforce and is proud to be an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, sex, gender expression or identity, sexual orientation or any other basis protected by applicable law. Coinbase will also consider for employment qualified applicants with criminal histories in a manner consistent with applicable federal, state and local law. 




Coinbase is also committed to providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process, please contact us at accommodations[at]coinbase.com to let us know the nature of your request and your contact information. For quick access to screen reading technology compatible with this site click here to download a free compatible screen reader (free step by step tutorial can be found here).







Global Data Privacy Notice for Job Candidates and Applicants

